;Values;Average_difference;Average_value;Std_values;videoid;channel
2;Saturation;0.40232666971512543;53.81940470775796;13.131853522828559;2;Coco
0;Hue;1.8750846032282096;237.43870451373454;89.13410739563375;3;Coco
1;Lightness;0.41010891537048605;59.57666541827804;15.549892978533938;3;Coco
2;Saturation;0.3419323542984339;66.850859732682;12.47279183025326;3;Coco
0;Hue;2.0367538850280913;337.6899121493469;68.96365893903325;4;Coco
1;Lightness;0.28582649804107696;63.38704879398973;13.064946995534106;4;Coco
2;Saturation;0.4148142512819082;57.50303210290047;16.12052182725729;4;Coco
0;Hue;1.40815367580282;264.5746866336958;77.36029738487962;5;Coco
1;Lightness;0.2370880676814336;61.93571206608096;14.356788690064487;5;Coco
2;Saturation;0.24732793563672933;69.30620040164406;12.695975490315936;5;Coco
0;Hue;1.9731104531220696;257.5173532592716;93.46741195935734;6;Coco
1;Lightness;0.41473898430175726;64.18891231061455;15.5394430008698;6;Coco
2;Saturation;0.4046748947798856;77.80714151249109;12.14838909095292;6;Coco
0;Hue;1.4741373255702603;218.2930810718682;131.40116584357875;7;Coco
1;Lightness;0.25725492412071255;57.48981439385547;18.50949876587543;7;Coco
2;Saturation;0.26608638678677354;58.59694461061261;17.703582874495854;7;Coco
0;Hue;2.098617421891165;261.42838009513645;76.66550632866078;8;Coco
1;Lightness;0.44357103203421283;64.44218326738225;12.571194220976524;8;Coco
2;Saturation;0.43196305172274674;63.74789867331422;13.223281184029984;8;Coco
0;Hue;1.9043168936700683;294.2735957596831;80.24110575857722;9;Coco
1;Lightness;0.3041696483552098;57.391588271747445;16.046519121177287;9;Coco
2;Saturation;0.4020789823367364;53.55042878031196;19.38031270342168;9;Coco
0;Hue;1.681415671861217;255.29673452969615;86.54486186645053;10;Coco
1;Lightness;0.3191909270725835;55.31145465175765;16.980212911624154;10;Coco
2;Saturation;0.39455890092879253;60.76849957224722;15.93031231477418;10;Coco
0;Hue;1.8012387786553652;205.79613973552085;97.15356945065103;11;Coco
1;Lightness;0.2934355772481406;56.78366156007246;13.581039510969939;11;Coco
2;Saturation;0.3716899509803923;75.9955792525467;10.593291396261183;11;Coco
0;Hue;3.2696048658144616;248.4688911440443;94.45590359623479;12;Coco
1;Lightness;0.5067190269434365;63.00462076142057;14.164747572269667;12;Coco
2;Saturation;0.5453835325839134;56.39202145614374;15.956479963272175;12;Coco
0;Hue;2.4895538554955112;227.9682094584878;99.82933529327909;13;Coco
