;type;num_scene_changes;difference;std_count;scene_changes_per_min;time_interval;videoid;channel
218;per_second;100;5;6.8044103344816;14.8557280259023;4.00961538461539;4;Bluey
219;two_seconds;89;16;6.8044103344816;14.8557280259023;4.00961538461539;4;Bluey
220;all_frames;106;23;12.0291313069565;14.794826463199;4.02490566037736;5;Bluey
221;half_half_second;129;0;12.0291313069565;14.794826463199;4.02490566037736;5;Bluey
222;half_second;119;10;12.0291313069565;14.794826463199;4.02490566037736;5;Bluey
223;per_second;117;12;12.0291313069565;14.794826463199;4.02490566037736;5;Bluey
224;two_seconds;98;31;12.0291313069565;14.794826463199;4.02490566037736;5;Bluey
225;all_frames;89;7;5.81377674149945;12.719131097561;4.68539325842697;6;Bluey
226;half_half_second;96;0;5.81377674149945;12.719131097561;4.68539325842697;6;Bluey
227;half_second;93;3;5.81377674149945;12.719131097561;4.68539325842697;6;Bluey
228;per_second;93;3;5.81377674149945;12.719131097561;4.68539325842697;6;Bluey
229;two_seconds;81;15;5.81377674149945;12.719131097561;4.68539325842697;6;Bluey
230;all_frames;23;7;2.70185121722126;9.93949870354365;5.59130434782609;7;Bluey
231;half_half_second;28;2;2.70185121722126;9.93949870354365;5.59130434782609;7;Bluey
232;half_second;28;2;2.70185121722126;9.93949870354365;5.59130434782609;7;Bluey
233;per_second;30;0;2.70185121722126;9.93949870354365;5.59130434782609;7;Bluey
234;two_seconds;29;1;2.70185121722126;9.93949870354365;5.59130434782609;7;Bluey
235;all_frames;24;3;1.4142135623731;11.8851105975569;4.96;8;Bluey
236;half_half_second;24;3;1.4142135623731;11.8851105975569;4.96;8;Bluey
237;half_second;26;1;1.4142135623731;11.8851105975569;4.96;8;Bluey
238;per_second;27;0;1.4142135623731;11.8851105975569;4.96;8;Bluey
239;two_seconds;24;3;1.4142135623731;11.8851105975569;4.96;8;Bluey
240;all_frames;19;1;0.836660026534076;9.31068278340412;6.33052631578947;9;Bluey
241;half_half_second;19;1;0.836660026534076;9.31068278340412;6.33052631578947;9;Bluey
242;half_second;18;2;0.836660026534076;9.31068278340412;6.33052631578947;9;Bluey
243;per_second;20;0;0.836660026534076;9.31068278340412;6.33052631578947;9;Bluey
244;two_seconds;20;0;0.836660026534076;9.31068278340412;6.33052631578947;9;Bluey
245;all_frames;49;0;3.84707681233427;23.527528809219;2.50612244897959;10;Bluey
246;half_half_second;47;2;3.84707681233427;23.527528809219;2.50612244897959;10;Bluey
247;half_second;47;2;3.84707681233427;23.527528809219;2.50612244897959;10;Bluey
248;per_second;46;3;3.84707681233427;23.527528809219;2.50612244897959;10;Bluey
249;two_seconds;39;10;3.84707681233427;23.527528809219;2.50612244897959;10;Bluey
250;all_frames;62;0;15.5627761019684;33.6834480260775;1.74516129032258;11;Bluey
251;half_half_second;31;31;15.5627761019684;33.6834480260775;1.74516129032258;11;Bluey
252;half_second;31;31;15.5627761019684;33.6834480260775;1.74516129032258;11;Bluey
253;per_second;27;35;15.5627761019684;33.6834480260775;1.74516129032258;11;Bluey
254;two_seconds;23;39;15.5627761019684;33.6834480260775;1.74516129032258;11;Bluey
255;all_frames;45;0;3.04959013639538;21.2064090480679;2.784;12;Bluey
256;half_half_second;44;1;3.04959013639538;21.2064090480679;2.784;12;Bluey
257;half_second;45;0;3.04959013639538;21.2064090480679;2.784;12;Bluey
258;per_second;45;0;3.04959013639538;21.2064090480679;2.784;12;Bluey
259;two_seconds;38;7;3.04959013639538;21.2064090480679;2.784;12;Bluey
260;all_frames;26;0;1.09544511501033;13.0872483221477;4.58307692307692;13;Bluey
261;half_half_second;25;1;1.09544511501033;13.0872483221477;4.58307692307692;13;Bluey
262;half_second;25;1;1.09544511501033;13.0872483221477;4.58307692307692;13;Bluey
263;per_second;25;1;1.09544511501033;13.0872483221477;4.58307692307692;13;Bluey
264;two_seconds;23;3;1.09544511501033;13.0872483221477;4.58307692307692;13;Bluey
265;all_frames;54;7;5.1478150704935;26.5312807075008;2.17333333333333;14;Bluey
266;half_half_second;61;0;5.1478150704935;26.5312807075008;2.17333333333333;14;Bluey
267;half_second;59;2;5.1478150704935;26.5312807075008;2.17333333333333;14;Bluey
268;per_second;58;3;5.1478150704935;26.5312807075008;2.17333333333333;14;Bluey
269;two_seconds;48;13;5.1478150704935;26.5312807075008;2.17333333333333;14;Bluey
270;all_frames;16;4;1.67332005306815;7.14924039320822;7.765;15;Bluey
271;half_half_second;18;2;1.67332005306815;7.14924039320822;7.765;15;Bluey
272;half_second;20;0;1.67332005306815;7.14924039320822;7.765;15;Bluey
273;per_second;18;2;1.67332005306815;7.14924039320822;7.765;15;Bluey
274;two_seconds;16;4;1.67332005306815;7.14924039320822;7.765;15;Bluey
275;all_frames;23;7;2.77488738510232;11.5115115115115;4.82782608695652;16;Bluey
276;half_half_second;24;6;2.77488738510232;11.5115115115115;4.82782608695652;16;Bluey
277;half_second;30;0;2.77488738510232;11.5115115115115;4.82782608695652;16;Bluey
278;per_second;27;3;2.77488738510232;11.5115115115115;4.82782608695652;16;Bluey
279;two_seconds;25;5;2.77488738510232;11.5115115115115;4.82782608695652;16;Bluey
280;all_frames;16;4;1.67332005306815;7.14924039320822;7.765;17;Bluey
281;half_half_second;18;2;1.67332005306815;7.14924039320822;7.765;17;Bluey
282;half_second;20;0;1.67332005306815;7.14924039320822;7.765;17;Bluey
283;per_second;18;2;1.67332005306815;7.14924039320822;7.765;17;Bluey
284;two_seconds;16;4;1.67332005306815;7.14924039320822;7.765;17;Bluey
