;channel;videoid;length;views;years;url
107;SuperSimpleSongs;8;161.4;899832163;9;https://www.youtube.com/watch?v=13mftBvRmvM
108;SuperSimpleSongs;9;181.416666666667;871648610;10;https://www.youtube.com/watch?v=-jBfb33_KHU
109;SuperSimpleSongs;10;127;514411873;8;https://www.youtube.com/watch?v=fXFg5QsTcLQ
110;SuperSimpleSongs;11;168.916666666667;473860450;13;https://www.youtube.com/watch?v=tbbKjDjMDok
111;SuperSimpleSongs;12;165.76;442573153;13;https://www.youtube.com/watch?v=9mmF8zOlh_g
112;SuperSimpleSongs;13;187.724137931034;437702654;14;https://www.youtube.com/watch?v=HGgsklW-mtg
113;SuperSimpleSongs;14;197.25;417489112;7;https://www.youtube.com/watch?v=_6HzoUcx3eo
114;SuperSimpleSongs;15;232;411547888;7;https://www.youtube.com/watch?v=2S__fbCGwOM
115;SuperSimpleSongs;16;203.666666666667;404537040;11;https://www.youtube.com/watch?v=zXEq-QO3xTg
116;SuperSimpleSongs;17;195.958333333333;357147710;8;https://www.youtube.com/watch?v=r5WLXZspD1M
117;SuperSimpleSongs;18;199.083333333333;354218113;9;https://www.youtube.com/watch?v=trDl36m9pgA
118;SuperSimpleSongs;19;111.25;339670045;9;https://www.youtube.com/watch?v=fPMjnlTEZwU
119;SuperSimpleSongs;20;95.625;95113944;7;https://www.youtube.com/watch?v=zMdq9jSaNLg
